,Keyword,LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,Cluster,PDP % of searches,A2C % of searches,ORDER % of searches
363,chopper,Home Appliances,472.0,244.0,67.0,32.0,638.76,17.74,19.96,68025.0,919.0,EL,51.69,14.19,6.78
364,infinix hot 10 play,Mobiles & Tablets,470.0,225.0,97.0,32.0,17063.54,111.53,533.24,14966.0,322.0,EL,47.87,20.64,6.81
365,ramen noodles,Groceries,470.0,289.0,98.0,31.0,164.76,4.22,5.31,3676.0,359.0,FMCG,61.49,20.85,6.6
366,mobile stand holder for video,Cameras,469.0,199.0,97.0,45.0,156.75,3.48,3.48,97902.0,490.0,EL,42.43,20.68,9.59
367,i phone 12,Mobiles & Tablets,469.0,142.0,20.0,0.0,0.0,0.0,0.0,219366.0,338.0,EL,30.28,4.26,0.0
368,miss rose all products,Health & Beauty,468.0,298.0,114.0,47.0,250.95,3.69,5.34,16390.0,1032.0,FMCG,63.68,24.36,10.04
369,cat food,Pet Supplies,468.0,249.0,128.0,79.0,538.42,5.73,6.82,16816.0,607.0,FMCG,53.21,27.35,16.88
370,sex toyes for men,Health & Beauty,467.0,67.0,1.0,1.0,3.65,3.65,3.65,5394.0,331.0,FMCG,14.35,0.21,0.21
372,free delivery products,Groceries,466.0,173.0,21.0,0.0,0.0,0.0,0.0,39456.0,1660.0,FMCG,37.12,4.51,0.0
374,weight machine,Kitchen & Dining,465.0,230.0,87.0,40.0,342.82,8.36,8.57,63275.0,1564.0,GM,49.46,18.71,8.6
373,headphone,"TV, Audio / Video, Gaming & Wearables",465.0,238.0,100.0,28.0,111.69,3.38,3.99,603991.0,1123.0,EL,51.18,21.51,6.02
371,bathroom accessories,Bedding & Bath,465.0,196.0,61.0,15.0,82.29,3.58,5.49,101706.0,1011.0,GM,42.15,13.12,3.23
377,school bag for boys,Bags and Travel,463.0,199.0,36.0,10.0,71.04,7.1,7.1,36931.0,760.0,Fashion,42.98,7.78,2.16
375,mibro lite,"TV, Audio / Video, Gaming & Wearables",462.0,308.0,138.0,38.0,1744.33,37.92,45.9,31.0,31.0,EL,66.67,29.87,8.23
376,hand free bluetooth,"TV, Audio / Video, Gaming & Wearables",462.0,236.0,110.0,38.0,175.05,3.81,4.61,64198.0,1022.0,EL,51.08,23.81,8.23
378,under garments for men,Fashion,462.0,237.0,81.0,25.0,99.09,3.67,3.96,23873.0,1004.0,Fashion,51.3,17.53,5.41
379,watches for boys,Watches Sunglasses Jewellery,461.0,150.0,35.0,11.0,37.34,2.87,3.39,178372.0,829.0,Fashion,32.54,7.59,2.39
380,ear rings,Watches Sunglasses Jewellery,460.0,248.0,75.0,20.0,43.7,2.08,2.18,531579.0,1040.0,Fashion,53.91,16.3,4.35
381,jeans jacket for men,Fashion,459.0,231.0,21.0,7.0,99.79,12.47,14.26,2374.0,918.0,Fashion,50.33,4.58,1.53
