,Keyword,LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,Cluster,PDP % of searches,A2C % of searches,ORDER % of searches
1253,vegetable cutter,Kitchen & Dining,206.0,106.0,40.0,13.0,47.41,2.79,3.65,60634.0,596.0,GM,51.46,19.42,6.31
1259,ronin handfree,"TV, Audio / Video, Gaming & Wearables",206.0,96.0,40.0,9.0,50.27,5.03,5.59,840.0,588.0,EL,46.6,19.42,4.37
1258,tape,Stationery & Craft,206.0,77.0,42.0,13.0,22.41,1.6,1.72,302137.0,439.0,GM,37.38,20.39,6.31
1254,pendants for girls,Watches Sunglasses Jewellery,206.0,100.0,18.0,4.0,20.73,3.46,5.18,60499.0,1018.0,Fashion,48.54,8.74,1.94
1251,geometry box for girls,Stationery & Craft,206.0,99.0,12.0,4.0,11.35,2.84,2.84,4101.0,780.0,GM,48.06,5.83,1.94
1252,lip pencil,Health & Beauty,206.0,125.0,55.0,23.0,63.26,2.64,2.75,12858.0,280.0,FMCG,60.68,26.7,11.17
1250,derma shine,Health & Beauty,206.0,93.0,44.0,17.0,155.94,8.66,9.17,1998.0,307.0,FMCG,45.15,21.36,8.25
1249,lunch box,Kitchen & Dining,206.0,102.0,15.0,5.0,27.47,4.58,5.49,28378.0,1056.0,GM,49.51,7.28,2.43
1248,masalaywala,Groceries,206.0,150.0,67.0,18.0,63.76,1.06,3.54,489.0,342.0,FMCG,72.82,32.52,8.74
1245,nike shoes for men,Fashion,206.0,70.0,1.0,0.0,0.0,0.0,0.0,23.0,23.0,Fashion,33.98,0.49,0.0
1244,audionic handsfree,"TV, Audio / Video, Gaming & Wearables",206.0,101.0,50.0,20.0,72.4,3.02,3.62,3008.0,489.0,EL,49.03,24.27,9.71
1265,fidget spinner,Toys & Games,205.0,87.0,30.0,12.0,34.91,2.05,2.91,15116.0,508.0,GM,42.44,14.63,5.85
1286,samsung mobiles,Mobiles & Tablets,205.0,107.0,20.0,0.0,0.0,0.0,0.0,824272.0,299.0,EL,52.2,9.76,0.0
1275,sex toys for women dildo,Health & Beauty,205.0,21.0,2.0,0.0,0.0,0.0,0.0,1456.0,460.0,FMCG,10.24,0.98,0.0
1267,swing jhoola,Mother & Baby,205.0,129.0,26.0,3.0,129.4,43.13,43.13,64830.0,424.0,FMCG,62.93,12.68,1.46
1266,track suit for men winter,Sports & Outdoors,205.0,106.0,24.0,6.0,57.09,8.16,9.52,5822.0,1018.0,GM,51.71,11.71,2.93
1268,ponds,Health & Beauty,205.0,76.0,22.0,7.0,15.29,1.7,2.18,26068.0,350.0,FMCG,37.07,10.73,3.41
1264,instant geyser electric,Home Appliances,205.0,122.0,16.0,5.0,223.69,44.74,44.74,6945.0,338.0,EL,59.51,7.8,2.44
1262,mens fashion,Fashion,205.0,44.0,2.0,1.0,13.25,4.42,13.25,1761162.0,358.0,Fashion,21.46,0.98,0.49
1257,real me mobile,Mobiles & Tablets,205.0,80.0,13.0,0.0,0.0,0.0,0.0,113746.0,362.0,EL,39.02,6.34,0.0
1255,laptop bags,Bags and Travel,205.0,108.0,29.0,10.0,94.38,9.44,9.44,84877.0,460.0,Fashion,52.68,14.15,4.88
1263,honda cd 70 motorcycle,Motors,205.0,117.0,41.0,7.0,11220.62,1020.06,1602.95,2848.0,840.0,GM,57.07,20.0,3.41
1256,dettol,Health & Beauty,205.0,98.0,55.0,26.0,424.69,7.58,16.33,250.0,258.0,FMCG,47.8,26.83,12.68
1276,infinix zero x pro,Mobiles & Tablets,204.0,108.0,28.0,3.0,832.33,277.44,277.44,7176.0,269.0,EL,52.94,13.73,1.47
1280,shirts for men,Fashion,204.0,69.0,10.0,4.0,32.35,4.62,8.09,170942.0,1019.0,Fashion,33.82,4.9,1.96
1279,samsang,Mobiles & Tablets,204.0,77.0,12.0,2.0,360.67,180.34,180.34,1015438.0,230.0,EL,37.75,5.88,0.98
1278,orange juice machine,Home Appliances,204.0,115.0,24.0,8.0,79.08,9.88,9.88,13501.0,576.0,EL,56.37,11.76,3.92
1277,mobile phones infinix,Mobiles & Tablets,204.0,60.0,12.0,0.0,0.0,0.0,0.0,73503.0,308.0,EL,29.41,5.88,0.0
1274,fair and lovely,Health & Beauty,204.0,86.0,25.0,8.0,18.59,2.32,2.32,2038.0,190.0,FMCG,42.16,12.25,3.92
1273,gul ahmed sale,Fashion,204.0,71.0,5.0,2.0,32.74,16.37,16.37,3575.0,430.0,Fashion,34.8,2.45,0.98
1272,man shoes,Fashion,204.0,110.0,23.0,10.0,271.55,18.1,27.16,98434.0,1243.0,Fashion,53.92,11.27,4.9
1270,hangers,Laundry & Cleaning,204.0,131.0,65.0,21.0,55.85,2.15,2.66,210185.0,850.0,GM,64.22,31.86,10.29
1285,water pump,Kitchen & Dining,204.0,87.0,52.0,29.0,96.31,2.92,3.32,63012.0,653.0,GM,42.65,25.49,14.22
1288,tissue box,Kitchen & Dining,203.0,92.0,34.0,13.0,60.0,4.29,4.62,22590.0,976.0,GM,45.32,16.75,6.4
1287,wiresto,"TV, Audio / Video, Gaming & Wearables",203.0,124.0,73.0,38.0,564.91,11.77,14.87,230.0,227.0,EL,61.08,35.96,18.72
1284,ps3,"TV, Audio / Video, Gaming & Wearables",203.0,71.0,10.0,0.0,0.0,0.0,0.0,59766.0,288.0,EL,34.98,4.93,0.0
1283,gold chain,Watches Sunglasses Jewellery,203.0,51.0,2.0,0.0,0.0,0.0,0.0,130651.0,322.0,Fashion,25.12,0.99,0.0
1282,money heist,Fashion,203.0,45.0,11.0,4.0,21.94,4.39,5.48,6558.0,468.0,Fashion,22.17,5.42,1.97
1271,hair straightner,Health & Beauty,203.0,88.0,23.0,9.0,55.92,5.59,6.21,98301.0,785.0,FMCG,43.35,11.33,4.43
1269,i phone 12 pro max mobile,Mobiles & Tablets,203.0,70.0,10.0,0.0,0.0,0.0,0.0,556502.0,189.0,EL,34.48,4.93,0.0
1281,oppo a16,Mobiles & Tablets,203.0,87.0,24.0,4.0,1603.33,267.22,400.83,2423.0,543.0,EL,42.86,11.82,1.97
1296,toaster,Home Appliances,202.0,100.0,38.0,20.0,459.79,20.9,22.99,7249.0,363.0,EL,49.5,18.81,9.9
1302,shirts for girls,Fashion,202.0,50.0,2.0,0.0,0.0,0.0,0.0,108556.0,418.0,Fashion,24.75,0.99,0.0
1289,basket,Laundry & Cleaning,202.0,80.0,14.0,5.0,11.49,2.3,2.3,213097.0,928.0,GM,39.6,6.93,2.48
1299,food,Groceries,202.0,50.0,8.0,0.0,0.0,0.0,0.0,1796377.0,338.0,FMCG,24.75,3.96,0.0
1314,sound system,"TV, Audio / Video, Gaming & Wearables",202.0,80.0,7.0,2.0,106.95,53.48,53.48,758061.0,1086.0,EL,39.6,3.47,0.99
1297,white board,Stationery & Craft,202.0,95.0,28.0,7.0,51.11,7.3,7.3,23975.0,1030.0,GM,47.03,13.86,3.47
1298,vape shisha smoke,Motors,202.0,22.0,1.0,0.0,0.0,0.0,0.0,24163.0,318.0,GM,10.89,0.5,0.0
1295,tile stickers,Furniture & Decor,202.0,151.0,74.0,35.0,109.21,2.48,3.12,46653.0,752.0,GM,74.75,36.63,17.33
1294,teddy bear,Toys & Games,202.0,117.0,20.0,0.0,0.0,0.0,0.0,19638.0,338.0,GM,57.92,9.9,0.0
1293,gloves for kitchen,Laundry & Cleaning,202.0,132.0,76.0,35.0,102.61,2.63,2.93,43326.0,294.0,GM,65.35,37.62,17.33
1292,heating pad,Health & Beauty,202.0,87.0,22.0,14.0,240.05,15.0,17.15,72225.0,920.0,FMCG,43.07,10.89,6.93
1291,neon lights for room,Furniture & Decor,202.0,70.0,3.0,1.0,14.47,14.47,14.47,5291.0,390.0,GM,34.65,1.49,0.5
1290,baba dress,Mother & Baby,202.0,41.0,4.0,1.0,3.31,3.31,3.31,113886.0,539.0,FMCG,20.3,1.98,0.5
1301,study table for kids,Stationery & Craft,201.0,77.0,30.0,13.0,49.21,3.52,3.79,48780.0,389.0,GM,38.31,14.93,6.47
1303,baby accessories toys,Toys & Games,201.0,25.0,4.0,0.0,0.0,0.0,0.0,231987.0,338.0,GM,12.44,1.99,0.0
1304,hair spray,Health & Beauty,201.0,90.0,41.0,17.0,56.41,2.82,3.32,26464.0,423.0,FMCG,44.78,20.4,8.46
1305,pens,Stationery & Craft,201.0,73.0,16.0,2.0,4.23,2.12,2.12,364360.0,603.0,GM,36.32,7.96,1.0
1306,upper for girls,Fashion,201.0,61.0,3.0,0.0,0.0,0.0,0.0,4435.0,297.0,Fashion,30.35,1.49,0.0
1307,tablets for kids,Mobiles & Tablets,201.0,90.0,14.0,2.0,246.75,82.25,123.37,5965277.0,198.0,EL,44.78,6.97,1.0
1308,poco m3 pro,Mobiles & Tablets,201.0,39.0,3.0,1.0,1.56,1.56,1.56,2019.0,269.0,EL,19.4,1.49,0.5
1316,wireless charger,Mobiles & Tablets,200.0,91.0,26.0,12.0,117.1,8.36,9.76,43391.0,955.0,EL,45.5,13.0,6.0
1315,bag for girls school,Stationery & Craft,200.0,63.0,7.0,0.0,0.0,0.0,0.0,22029.0,575.0,GM,31.5,3.5,0.0
1313,bts hoodie,Fashion,200.0,119.0,47.0,20.0,179.6,7.48,8.98,3037.0,288.0,Fashion,59.5,23.5,10.0
1312,curler,Health & Beauty,200.0,102.0,32.0,7.0,63.85,9.12,9.12,45812.0,440.0,FMCG,51.0,16.0,3.5
1311,curtains,Furniture & Decor,200.0,111.0,27.0,9.0,85.69,9.52,9.52,78263.0,745.0,GM,55.5,13.5,4.5
1300,hand frees,"TV, Audio / Video, Gaming & Wearables",200.0,132.0,63.0,23.0,50.23,2.18,2.18,2122560.0,304.0,EL,66.0,31.5,11.5
1310,korean noodles,Groceries,200.0,103.0,38.0,12.0,47.88,3.42,3.99,865.0,700.0,FMCG,51.5,19.0,6.0
1309,infinix zero x neo,Mobiles & Tablets,200.0,113.0,52.0,9.0,1682.85,186.98,186.98,13574.0,218.0,EL,56.5,26.0,4.5
1323,kitchen gadgets,Kitchen & Dining,199.0,79.0,18.0,2.0,4.17,2.08,2.08,53284.0,562.0,GM,39.7,9.05,1.01
1329,wb by hemani,Health & Beauty,199.0,57.0,20.0,12.0,50.82,3.63,4.23,1411.0,980.0,FMCG,28.64,10.05,6.03
1328,pumps for women,Fashion,199.0,95.0,6.0,4.0,24.05,6.01,6.01,4100.0,983.0,Fashion,47.74,3.02,2.01
1327,gift box for girls,Stationery & Craft,199.0,36.0,2.0,0.0,0.0,0.0,0.0,46280.0,469.0,GM,18.09,1.01,0.0
1317,hands free,"TV, Audio / Video, Gaming & Wearables",199.0,106.0,52.0,14.0,27.35,1.82,1.95,2278629.0,488.0,EL,53.27,26.13,7.04
1325,high lighter makeup,Health & Beauty,199.0,129.0,54.0,19.0,51.39,2.57,2.7,28060.0,490.0,FMCG,64.82,27.14,9.55
1326,huawei band 6,"TV, Audio / Video, Gaming & Wearables",199.0,102.0,33.0,4.0,387.33,64.55,96.83,786.0,454.0,EL,51.26,16.58,2.01
1322,j dot dresses for women,Fashion,199.0,66.0,8.0,1.0,6.12,6.12,6.12,3400.0,288.0,Fashion,33.17,4.02,0.5
1321,mp3 player,"TV, Audio / Video, Gaming & Wearables",199.0,96.0,28.0,12.0,62.82,5.23,5.23,89532.0,360.0,EL,48.24,14.07,6.03
1320,oppo a95,Mobiles & Tablets,199.0,120.0,19.0,2.0,707.43,235.81,353.72,623.0,189.0,EL,60.3,9.55,1.01
1324,hanger,Laundry & Cleaning,199.0,121.0,71.0,31.0,78.1,2.0,2.52,209852.0,632.0,GM,60.8,35.68,15.58
1337,camera pen,Cameras,198.0,55.0,8.0,0.0,0.0,0.0,0.0,4258.0,470.0,EL,27.78,4.04,0.0
1343,sam sung mobile phone,Mobiles & Tablets,198.0,81.0,8.0,0.0,0.0,0.0,0.0,824920.0,300.0,EL,40.91,4.04,0.0
1349,winter caps for women,Fashion,198.0,88.0,25.0,10.0,65.82,6.58,6.58,365017.0,1018.0,Fashion,44.44,12.63,5.05
1342,shose for girls,Fashion,198.0,73.0,6.0,1.0,4.38,4.38,4.38,180558.0,1018.0,Fashion,36.87,3.03,0.51
1341,dr rashel products,Health & Beauty,198.0,80.0,23.0,10.0,57.65,5.76,5.76,3120.0,470.0,FMCG,40.4,11.62,5.05
1340,vivo y33s mobile,Mobiles & Tablets,198.0,72.0,15.0,2.0,418.29,209.15,209.15,8758.0,197.0,EL,36.36,7.58,1.01
1339,baking oven,Home Appliances,198.0,102.0,12.0,0.0,0.0,0.0,0.0,127755.0,788.0,EL,51.52,6.06,0.0
1338,bracelets for girls,Watches Sunglasses Jewellery,198.0,75.0,20.0,7.0,19.66,2.46,2.81,120512.0,460.0,Fashion,37.88,10.1,3.54
1318,hijab,Fashion,198.0,81.0,18.0,7.0,33.11,4.73,4.73,234570.0,697.0,Fashion,40.91,9.09,3.54
1336,girls bag,Bags and Travel,198.0,73.0,11.0,3.0,10.21,3.4,3.4,120404.0,992.0,Fashion,36.87,5.56,1.52
1334,drone camera 4k,Cameras,198.0,90.0,9.0,0.0,0.0,0.0,0.0,1259.0,252.0,EL,45.45,4.55,0.0
1333,i phone 6,Mobiles & Tablets,198.0,21.0,2.0,0.0,0.0,0.0,0.0,630158.0,178.0,EL,10.61,1.01,0.0
1332,cricket kit,Sports & Outdoors,198.0,88.0,12.0,2.0,55.96,27.98,27.98,414.0,413.0,GM,44.44,6.06,1.01
1331,kids,Fashion,198.0,40.0,6.0,2.0,10.93,5.46,5.46,2136041.0,530.0,Fashion,20.2,3.03,1.01
1330,bicycle,Sports & Outdoors,198.0,65.0,6.0,0.0,0.0,0.0,0.0,512805.0,338.0,GM,32.83,3.03,0.0
1319,kitchen accessories chopper,Kitchen & Dining,198.0,69.0,32.0,12.0,41.45,3.19,3.45,55697.0,580.0,GM,34.85,16.16,6.06
1362,wifi router,Computers & Laptops,197.0,103.0,27.0,10.0,275.64,21.2,27.56,5533.0,301.0,EL,52.28,13.71,5.08
1361,gaming laptop,Computers & Laptops,197.0,118.0,17.0,1.0,947.61,947.61,947.61,80523.0,268.0,EL,59.9,8.63,0.51
1358,tool kit,"Tools, DIY & Outdoor",197.0,88.0,26.0,4.0,67.18,16.79,16.79,450955.0,991.0,GM,44.67,13.2,2.03
1357,zipper hoodies for men,Fashion,197.0,111.0,21.0,6.0,34.31,4.9,5.72,35437.0,1028.0,Fashion,56.35,10.66,3.05
1356,geyser,Home Appliances,197.0,116.0,22.0,5.0,330.25,55.04,66.05,894.0,348.0,EL,58.88,11.17,2.54
1353,redme note 10,Mobiles & Tablets,197.0,51.0,10.0,1.0,2.35,1.18,2.35,29849.0,260.0,EL,25.89,5.08,0.51
1355,sports bra,Sports & Outdoors,197.0,106.0,35.0,10.0,65.82,5.48,6.58,14407.0,308.0,GM,53.81,17.77,5.08
1354,vape pen,Motors,197.0,28.0,1.0,0.0,0.0,0.0,0.0,24242.0,238.0,GM,14.21,0.51,0.0
1350,bangles for women,Watches Sunglasses Jewellery,197.0,101.0,20.0,4.0,18.5,4.63,4.63,221133.0,1401.0,Fashion,51.27,10.15,2.03
1335,iphone 8 plus mobile phone,Mobiles & Tablets,197.0,13.0,2.0,0.0,0.0,0.0,0.0,57872.0,269.0,EL,6.6,1.02,0.0
1348,note 10 pro,Mobiles & Tablets,197.0,104.0,68.0,34.0,27356.63,189.98,804.61,34606.0,174.0,EL,52.79,34.52,17.26
1347,cross body bags for girls,Bags and Travel,197.0,117.0,30.0,2.0,10.61,5.31,5.31,14742.0,818.0,Fashion,59.39,15.23,1.02
1346,jewelry box,Watches Sunglasses Jewellery,197.0,85.0,17.0,8.0,56.32,6.26,7.04,548332.0,587.0,Fashion,43.15,8.63,4.06
1345,hijab caps for girls,Fashion,197.0,104.0,30.0,12.0,34.92,2.49,2.91,63493.0,410.0,Fashion,52.79,15.23,6.09
1344,lip tint,Health & Beauty,197.0,118.0,63.0,22.0,48.05,2.0,2.18,18949.0,594.0,FMCG,59.9,31.98,11.17
1352,mezan cooking oil,Groceries,196.0,121.0,79.0,35.0,1120.6,27.33,32.02,74.0,71.0,FMCG,61.73,40.31,17.86
1364,pop,Toys & Games,196.0,73.0,17.0,10.0,34.98,3.5,3.5,74930.0,592.0,GM,37.24,8.67,5.1
1351,girl watches,Watches Sunglasses Jewellery,196.0,81.0,24.0,9.0,40.7,3.7,4.52,559870.0,618.0,Fashion,41.33,12.24,4.59
1367,sex doll,Fashion,196.0,26.0,2.0,1.0,20.91,10.46,20.91,1878.0,250.0,Fashion,13.27,1.02,0.51
1366,snacks,Groceries,196.0,64.0,20.0,7.0,14.18,1.77,2.03,375856.0,742.0,FMCG,32.65,10.2,3.57
1363,chocolate boxes,Groceries,196.0,64.0,16.0,5.0,17.82,2.55,3.56,10048.0,698.0,FMCG,32.65,8.16,2.55
1360,cheese,Groceries,196.0,83.0,19.0,2.0,2.7,1.35,1.35,25115.0,424.0,FMCG,42.35,9.69,1.02
1359,hot water bottle,Sports & Outdoors,196.0,108.0,41.0,18.0,90.41,4.11,5.02,16610.0,428.0,GM,55.1,20.92,9.18
1379,wallets for women,Bags and Travel,195.0,91.0,19.0,3.0,15.64,5.21,5.21,111719.0,698.0,Fashion,46.67,9.74,1.54
1374,free fire,Digital Goods,195.0,52.0,18.0,5.0,4.41,0.73,0.88,2981152.0,173.0,Digital Goods,26.67,9.23,2.56
1378,vivo s1 mobile,Mobiles & Tablets,195.0,47.0,5.0,0.0,0.0,0.0,0.0,36632.0,381.0,EL,24.1,2.56,0.0
1377,laptop stand,Computers & Laptops,195.0,124.0,59.0,26.0,214.79,7.96,8.26,82362.0,938.0,EL,63.59,30.26,13.33
1376,eye lashes curler,Health & Beauty,195.0,118.0,71.0,20.0,34.47,1.5,1.72,8575.0,350.0,FMCG,60.51,36.41,10.26
1375,cat accessories,Pet Supplies,195.0,73.0,26.0,10.0,21.69,1.97,2.17,126184.0,333.0,FMCG,37.44,13.33,5.13
1368,barbie doll,Toys & Games,195.0,89.0,13.0,1.0,49.88,6.23,49.88,102354.0,378.0,GM,45.64,6.67,0.51
1373,make up kit for girls,Health & Beauty,195.0,79.0,11.0,2.0,10.32,5.16,5.16,10956.0,699.0,FMCG,40.51,5.64,1.03
1372,mi watch,Medicine,195.0,98.0,19.0,2.0,13.42,6.71,6.71,10974.0,978.0,Others,50.26,9.74,1.03
1371,night dress for girls sexy hot short xxx,Fashion,195.0,56.0,2.0,1.0,6.76,6.76,6.76,5765.0,721.0,Fashion,28.72,1.03,0.51
1370,nebulizer machine,Health & Beauty,195.0,95.0,34.0,20.0,377.12,17.96,18.86,1286.0,401.0,FMCG,48.72,17.44,10.26
1369,12 12 sale mobile,Mobiles & Tablets,195.0,44.0,7.0,1.0,2.93,2.93,2.93,107012.0,352.0,EL,22.56,3.59,0.51
1365,bioaqua products,Health & Beauty,195.0,95.0,41.0,21.0,70.21,2.93,3.34,8550.0,470.0,FMCG,48.72,21.03,10.77
1396,makeup organizer,Health & Beauty,194.0,106.0,28.0,9.0,79.33,6.1,8.81,81661.0,1087.0,FMCG,54.64,14.43,4.64
1388,hand bag for girls in sale low price 500,Bags and Travel,194.0,50.0,3.0,1.0,3.58,3.58,3.58,66.0,66.0,Fashion,25.77,1.55,0.52
1387,hair straightener 3 in 1,Health & Beauty,194.0,98.0,30.0,14.0,110.94,7.92,7.92,46147.0,390.0,FMCG,50.52,15.46,7.22
1386,leather jackets for women,Fashion,194.0,94.0,10.0,1.0,24.29,24.29,24.29,4912.0,536.0,Fashion,48.45,5.15,0.52
1384,dishwasher,Home Appliances,194.0,75.0,5.0,1.0,534.58,534.58,534.58,173318.0,278.0,EL,38.66,2.58,0.52
1381,microwave,Home Appliances,194.0,110.0,37.0,10.0,3656.26,117.94,365.63,175173.0,338.0,EL,56.7,19.07,5.15
1383,cloth,Mother & Baby,194.0,27.0,1.0,0.0,0.0,0.0,0.0,1057032.0,442.0,FMCG,13.92,0.52,0.0
1380,bats,Sports & Outdoors,194.0,108.0,24.0,8.0,54.4,5.44,6.8,25214.0,806.0,GM,55.67,12.37,4.12
1385,l e d tv,"TV, Audio / Video, Gaming & Wearables",193.0,47.0,5.0,0.0,0.0,0.0,0.0,1456858.0,676.0,EL,24.35,2.59,0.0
1395,lenovo earbuds,"TV, Audio / Video, Gaming & Wearables",193.0,122.0,44.0,19.0,256.43,11.66,13.5,2351.0,395.0,EL,63.21,22.8,9.84
1402,transparent bag,Bags and Travel,193.0,75.0,17.0,5.0,25.36,5.07,5.07,59524.0,540.0,Fashion,38.86,8.81,2.59
1401,chips,Groceries,193.0,89.0,37.0,4.0,9.3,1.86,2.32,242701.0,338.0,FMCG,46.11,19.17,2.07
1399,blutooth earphones,"TV, Audio / Video, Gaming & Wearables",193.0,104.0,50.0,18.0,149.57,7.87,8.31,158552.0,708.0,EL,53.89,25.91,9.33
1398,body spray for men,Health & Beauty,193.0,95.0,41.0,18.0,67.8,3.57,3.77,5744.0,487.0,FMCG,49.22,21.24,9.33
1400,perfume for women,Health & Beauty,193.0,100.0,40.0,14.0,67.08,3.19,4.79,35744.0,427.0,FMCG,51.81,20.73,7.25
1394,jolo chips spicy,Groceries,193.0,78.0,8.0,0.0,0.0,0.0,0.0,712.0,262.0,FMCG,40.41,4.15,0.0
1392,jacket for women,Fashion,193.0,95.0,13.0,2.0,14.05,7.02,7.02,52948.0,451.0,Fashion,49.22,6.74,1.04
1391,night dress for couple,Fashion,193.0,73.0,4.0,0.0,0.0,0.0,0.0,25646.0,614.0,Fashion,37.82,2.07,0.0
1390,nutella,Groceries,193.0,86.0,20.0,4.0,30.11,7.53,7.53,634.0,240.0,FMCG,44.56,10.36,2.07
1389,airdots,"TV, Audio / Video, Gaming & Wearables",193.0,88.0,34.0,14.0,139.8,9.99,9.99,79031.0,618.0,EL,45.6,17.62,7.25
1382,miss rose eyeshadow palette,Health & Beauty,193.0,108.0,31.0,10.0,61.87,4.76,6.19,3544.0,440.0,FMCG,55.96,16.06,5.18
1393,juicer blender,Home Appliances,193.0,86.0,21.0,7.0,101.86,14.55,14.55,26776.0,528.0,EL,44.56,10.88,3.63
1407,fancy dresses for women,Fashion,192.0,102.0,5.0,2.0,11.69,5.84,5.84,45283.0,1018.0,Fashion,53.12,2.6,1.04
1413,airpods pro case,"TV, Audio / Video, Gaming & Wearables",192.0,96.0,35.0,22.0,80.31,3.49,3.65,3885.0,808.0,EL,50.0,18.23,11.46
1410,timing spray for sex,Health & Beauty,192.0,47.0,5.0,2.0,7.08,3.54,3.54,6.0,7.0,FMCG,24.48,2.6,1.04
1409,vital tea,Groceries,192.0,118.0,79.0,36.0,1120.82,18.68,31.13,7811.0,259.0,FMCG,61.46,41.15,18.75
1408,canbebe,Mother & Baby,192.0,103.0,69.0,35.0,2182.02,21.6,62.34,200.0,198.0,FMCG,53.65,35.94,18.23
1405,lenovo,Computers & Laptops,192.0,52.0,11.0,1.0,9.38,9.38,9.38,41057.0,638.0,EL,27.08,5.73,0.52
1406,face mask for covid,Health & Beauty,192.0,99.0,29.0,8.0,20.13,1.83,2.52,73799.0,938.0,FMCG,51.56,15.1,4.17
1404,motor bikes,Motors,192.0,59.0,10.0,1.0,354.51,354.51,354.51,483144.0,499.0,GM,30.73,5.21,0.52
1403,motercycle,Motors,192.0,54.0,16.0,3.0,358.42,119.47,119.47,459608.0,458.0,GM,28.12,8.33,1.56
1397,show piece,Furniture & Decor,192.0,50.0,8.0,3.0,22.53,5.63,7.51,1422236.0,768.0,GM,26.04,4.17,1.56
1419,dustbin,Laundry & Cleaning,191.0,92.0,35.0,9.0,48.96,4.45,5.44,30537.0,508.0,GM,48.17,18.32,4.71
1418,cycle for boys in low price 5000,Sports & Outdoors,191.0,54.0,5.0,0.0,0.0,0.0,0.0,12822.0,413.0,GM,28.27,2.62,0.0
1416,hard ball bat,Sports & Outdoors,191.0,112.0,18.0,9.0,101.5,10.15,11.28,15816.0,535.0,GM,58.64,9.42,4.71
1417,josh condom,Health & Beauty,191.0,113.0,64.0,34.0,121.66,2.53,3.58,76.0,76.0,FMCG,59.16,33.51,17.8
1422,dress for women,Fashion,191.0,95.0,12.0,2.0,16.94,8.47,8.47,576015.0,1099.0,Fashion,49.74,6.28,1.05
1412,lip balm for girls,Health & Beauty,191.0,80.0,21.0,2.0,4.99,1.66,2.49,2345612.0,332.0,FMCG,41.88,10.99,1.05
1411,baby toys for boys,Toys & Games,191.0,57.0,6.0,1.0,2.91,2.91,2.91,51239.0,1018.0,GM,29.84,3.14,0.52
1427,chappal for men,Fashion,190.0,91.0,20.0,5.0,48.88,4.89,9.78,17651.0,791.0,Fashion,47.89,10.53,2.63
1426,hair clips,Fashion,190.0,87.0,22.0,5.0,13.21,1.89,2.64,144178.0,708.0,Fashion,45.79,11.58,2.63
1425,guns,Toys & Games,190.0,86.0,15.0,2.0,13.84,6.92,6.92,28055.0,458.0,GM,45.26,7.89,1.05
1424,bts accessories for school,Mobiles & Tablets,190.0,79.0,15.0,6.0,37.3,4.66,6.22,2170.0,468.0,EL,41.58,7.89,3.16
1428,bike cover,Motors,190.0,114.0,63.0,33.0,96.33,2.83,2.92,101159.0,2120.0,GM,60.0,33.16,17.37
1423,printers,Computers & Laptops,190.0,82.0,15.0,2.0,188.3,62.77,94.15,43925.0,1667.0,EL,43.16,7.89,1.05
1420,air fryers,Home Appliances,190.0,116.0,25.0,8.0,909.08,101.01,113.64,8201.0,1018.0,EL,61.05,13.16,4.21
1415,oppo a54 back cover,Mobiles & Tablets,190.0,114.0,40.0,12.0,51.13,3.65,4.26,3278.0,578.0,EL,60.0,21.05,6.32
1414,baby shoes,Fashion,190.0,76.0,13.0,4.0,17.02,2.84,4.26,86046.0,1020.0,Fashion,40.0,6.84,2.11
1421,beauty products,Health & Beauty,190.0,87.0,21.0,9.0,32.89,2.99,3.65,1247442.0,1027.0,FMCG,45.79,11.05,4.74
1435,diary,Stationery & Craft,189.0,106.0,19.0,7.0,25.02,3.13,3.57,41614.0,772.0,GM,56.08,10.05,3.7
1439,wicket,Sports & Outdoors,189.0,101.0,31.0,10.0,33.2,3.32,3.32,727.0,510.0,GM,53.44,16.4,5.29
1438,wall decoration,Furniture & Decor,189.0,88.0,30.0,9.0,40.03,4.0,4.45,869849.0,608.0,GM,46.56,15.87,4.76
1437,coats for men,Fashion,189.0,89.0,11.0,4.0,43.45,8.69,10.86,33651.0,555.0,Fashion,47.09,5.82,2.12
1436,bts bags,Bags and Travel,189.0,87.0,28.0,12.0,167.21,12.86,13.93,652.0,232.0,Fashion,46.03,14.81,6.35
1432,kitchen appliances,Home Appliances,189.0,56.0,11.0,1.0,8.44,8.44,8.44,2362797.0,1028.0,EL,29.63,5.82,0.53
1434,dolls,Toys & Games,189.0,104.0,19.0,5.0,23.2,4.64,4.64,440940.0,1023.0,GM,55.03,10.05,2.65
1433,makeup kits for girls,Toys & Games,189.0,23.0,0.0,0.0,0.0,0.0,0.0,58547.0,278.0,GM,12.17,0.0,0.0
1431,bata,Fashion,189.0,40.0,2.0,0.0,0.0,0.0,0.0,492.0,268.0,Fashion,21.16,1.06,0.0
1440,sofa cover 7 seater,Furniture & Decor,189.0,124.0,32.0,18.0,317.7,17.65,17.65,15962.0,698.0,GM,65.61,16.93,9.52
1442,mini bluetooth speaker,"TV, Audio / Video, Gaming & Wearables",188.0,98.0,40.0,18.0,65.62,3.28,3.65,14262.0,1039.0,EL,52.13,21.28,9.57
1443,hover board,Sports & Outdoors,188.0,65.0,6.0,1.0,9.36,9.36,9.36,1190.0,290.0,GM,34.57,3.19,0.53
1444,installment mobile,Mobiles & Tablets,188.0,90.0,29.0,0.0,0.0,0.0,0.0,6085313.0,288.0,EL,47.87,15.43,0.0
